
"GENESIS" SNAPSHOT 1/8, AUG 15 2021

DKUMA SNAPSHOT, ETH MAINNET BLOCK #13026460 
address,balance,block_height,weight,approx. allocation
0xa206d322829e04fb5acd36f289ed5367ac3e73e4,1.28913133286757E+025,13026460,0.105429423684193,1054294.23684193
0xb4edfec7aa5588786901c63a8338e4b37611b2af,9.55539769573717E+024,13026460,0.078147202418384,781472.024183841
0xcbddd5ce20450931fca5e57b2d66ecab07acd7c6,9.34582993635064E+024,13026460,0.076433287976032,764332.879760315
0x689f7212b804796bcdd6cc710f76e3af5fb06992,4.5E+024,13026460,0.036802488193622,368024.881936218
0xf675f4e35d61d98d926abc3cb82f8de78939bc5d,4.09522450608071E+024,13026460,0.03349210034117,334921.003411702
0x000000000000000000000000000000000000dead,3.07001926761182E+024,13026460,0.025107632855661,251076.328556613
0x3a210cc0379803ee8ca8c944ecf3b7f6c28ccd5e,3.03497117475314E+024,13026460,0.024820997961519,248209.979615189
0x539c82d5cb886c94dd3e2d76dd5c73936c1cf391,2.66450673777301E+024,13026460,0.021791217279715,217912.172797149
0xb947c1b143c6ab4cead7219d16b5f963aa89e942,2.08352215022444E+024,13026460,0.017039733185508,170397.331855077
0xa71877a3ee0a2df22187be358785b29b3d82b077,2.06693396058178E+024,13026460,0.016904069484735,169040.694847349
0x9503043b84b5a6f9d581a14db820762db40459da,1.77174965441186E+024,13026460,0.014489954608566,144899.546085658
0x159b94c520b6c7dceba1b5b93bdcd4e3b4888ad6,1.71952755249455E+024,13026460,0.014062864988731,140628.649887307
0x5c5d335c6ce4792a6dc7c8e00c20714691889a29,1.62E+024,13026460,0.013248895749704,132488.957497039
0x06f89fa4f293fa26f6e8179f182709c2df8aaf99,1.60137595877581E+024,13026460,0.013096582181422,130965.821814215
0xd6e93c1fe5c45c82e39057e542920fb110492bca,1.4738536539764E+024,13026460,0.01205366259991,120536.625999095
0xb44a883686cc947d9f39d44e12534c88cccc4b69,1.32900898430386E+024,13026460,0.010869074989791,108690.749897911
0x90ae898cadded329029658db553caa149e77ae89,1.28861628445607E+024,13026460,0.010538730132179,105387.301321785
0xc3c1100b5c403f4a281b7cccc12d8ed3d305ce77,1.22833003937467E+024,13026460,0.010045689282657,100456.892826572
0x965ef37cf5bdc377e0039b05f6fd179cb922d0b7,1.1618658441569E+024,13026460,0.009502123113813,95021.2311381262
0xbfcc050ca65f5b061faf264ea9fc9f5659b694a3,1.15776535410115E+024,13026460,0.009468587950065,94685.8795006491
0x1a39c12a7e046fbc69311c4beb8b11535157e055,1.1111111E+024,13026460,0.009087034031012,90870.3403101159
0x63ee50181a241b08a8bf3885ef8310841ab9a5cf,1.1111111E+024,13026460,0.009087034031012,90870.3403101159
0x8b11149cab2d2dfa608aaeae4c6611fc5d0afc34,1.07923547160156E+024,13026460,0.00882634460039,88263.4460038982
0x9821913fb8faaca8d6978c340e5beea8a343ce50,1.07898014295462E+024,13026460,0.008824256438276,88242.564382755
0x0044859451763d3143d5264f5562cb91dc51fe99,1.07246340013351E+024,13026460,0.008770960360334,87709.6036033446
